id,price,sale price,gyarto,modell,evjarat,km ora,uzemenyag,KW,LE,allapot,csomagtarto,kivitel,szemelyek_szama,szin,hengerurtartalom,hajtas,valto tipus,valto szam,valto subtipus,vegyes fogyasztas
20604181,10530000.0,7990000.0,FORD,PUMA,2024.42,7.0,Benzin,92.0,125.0,Kitűnő,456.0,Városi terepjáró (crossover),5.0,Szürke,999.0,Első kerék,Manuális,6.0,,4.3
20789545,10855000.0,9560200.0,PEUGEOT,RIFTER,2024.0,4.0,Benzin,81.0,110.0,Kitűnő,775.0,Egyterű,5.0,Zöld (metál),1199.0,Első kerék,Manuális,6.0,,5.5
20927854,17450000.0,13399000.0,FORD,EXPLORER,2024.75,7.0,Elektromos,125.0,170.0,Kitűnő,,Városi terepjáró (crossover),5.0,Bordó (metál),,Hátsó kerék,Automata,,,
21091547,12740000.0,10940000.0,NISSAN,QASHQAI,2025.0,5.0,Benzin,103.0,140.0,Kitűnő,504.0,Városi terepjáró (crossover),5.0,Ezüst,1332.0,Első kerék,Manuális,6.0,,
21153941,18049000.0,17249000.0,HYUNDAI,TUCSON,2024.0,,Hibrid,118.0,160.0,Sérülésmentes,620.0,Városi terepjáró (crossover),5.0,Sötétzöld,1598.0,Első kerék,Automata,6.0,tiptronic,
21198537,9690000.0,,CITROEN,C4 X,2024.75,10.0,Benzin,75.0,102.0,Kitűnő,510.0,Sedan,5.0,,1199.0,Első kerék,Manuális,6.0,,
21317660,20460000.0,17850000.0,PEUGEOT,508,2024.92,5.0,,133.0,181.0,Kitűnő,487.0,Ferdehátú,5.0,,1598.0,Első kerék,Automata,8.0,tiptronic,
21384061,9960000.0,9290000.0,PEUGEOT,208,2024.75,5.0,Benzin,74.0,101.0,Kitűnő,342.0,Ferdehátú,5.0,,1199.0,Első kerék,,,,
21411067,12357800.0,11345900.0,MAZDA,CX-30,2025.0,1.0,Benzin,103.0,140.0,Kitűnő,430.0,Városi terepjáró (crossover),5.0,Törtfehér (metál),2488.0,Első kerék,Manuális,6.0,,
21438474,22627300.0,19890000.0,MAZDA,CX-60,2025.0,3.0,Dízel,187.0,254.0,Kitűnő,570.0,Városi terepjáró (crossover),5.0,Homok (metál),3283.0,Összkerék,Automata,8.0,tiptronic,
21452380,6440000.0,,CITROEN,C3,2025.0,3.0,Benzin,74.0,101.0,Kitűnő,310.0,Ferdehátú,5.0,,1199.0,Első kerék,Manuális,6.0,,
21467062,15390000.0,13390000.0,NISSAN,X-TRAIL,2025.0,7.0,Benzin,120.0,163.0,Kitűnő,585.0,Városi terepjáró (crossover),5.0,Fehér,1497.0,Első kerék,Fokozatmentes automata,,,
21499903,11099000.0,,CITROEN,C5 AIRCROSS,2025.0,7.0,Dízel,96.0,131.0,Kitűnő,580.0,Városi terepjáró (crossover),5.0,,1499.0,Első kerék,Automata,8.0,,3.8
21539452,10890000.0,10590000.0,OPEL,FRONTERA,2025.0,5.0,Elektromos,83.0,113.0,Kitűnő,,Városi terepjáró (crossover),5.0,Narancssárga (metál),,,Fokozatmentes automata,,,
21568933,11490000.0,9990000.0,OMODA,OMODA 5,2024.0,2.0,Benzin,108.0,147.0,Kitűnő,,Városi terepjáró (crossover),5.0,,1598.0,Első kerék,Automata,7.0,,
21612195,5699000.0,,KIA,CEE'D,2022.33,78725.0,Benzin,74.0,101.0,Normál,625.0,Kombi,5.0,(metál),998.0,Első kerék,Manuális,6.0,,
21632037,13850000.0,12190000.0,OPEL,GRANDLAND,2024.0,5.0,Benzin,100.0,136.0,Kitűnő,514.0,Városi terepjáró (crossover),5.0,Fehér,1199.0,Első kerék,Automata,6.0,,
